company_name,city,state,metro_area,industry,estimated_employees,estimated_revenue_range,owner_or_contact,contact_title
Oasis Dentistry San Diego,San Diego,CA,San Diego,Dental Practice,8,$800K-$1.5M,Owner,Practice Owner
San Diego Skin Medical Spa,La Jolla,CA,San Diego,Med Spa,12,$800K-$1.5M,Owner,Practice Owner
Revive Med Spa,San Diego,CA,San Diego,Med Spa,10,$500K-$1.5M,Owner,Practice Owner
B Medical Spa,San Diego,CA,San Diego,Med Spa,8,$500K-$1.2M,Owner,Practice Owner
Siti Med Spa,San Diego,CA,San Diego,Med Spa,8,$500K-$1.2M,Owner,Practice Owner
San Diego Optometry,San Diego,CA,San Diego,Optometry Practice,6,$500K-$1M,Owner,Practice Owner
Midway Optometry,San Diego,CA,San Diego,Optometry Practice,6,$500K-$1M,Owner,Practice Owner
Specs Optometry,San Diego,CA,San Diego,Optometry Practice,6,$500K-$1M,Owner,Practice Owner
Urban Optiks Optometry,San Diego,CA,San Diego,Optometry Practice,8,$500K-$1.2M,Owner,Practice Owner
Dentistry of San Francisco,San Francisco,CA,San Francisco Bay Area,Dental Practice,10,$800K-$1.5M,Dr. Joseph,Practice Owner
San Francisco Dental Partners,San Francisco,CA,San Francisco Bay Area,Dental Practice,10,$800K-$1.5M,Dr. Jasmine Bhuva,Practice Owner
SOMA Dental,San Francisco,CA,San Francisco Bay Area,Dental Practice,10,$800K-$1.5M,Dr. Nigel Suarez,Practice Owner
San Francisco Dental Care,San Francisco,CA,San Francisco Bay Area,Dental Practice,10,$800K-$1.5M,Owner,Practice Owner
Epi Center MedSpa,San Francisco,CA,San Francisco Bay Area,Med Spa,10,$500K-$1.5M,Owner,Practice Owner
Nob Hill Aesthetics,San Francisco,CA,San Francisco Bay Area,Med Spa,8,$500K-$1.2M,Owner,Practice Owner
Serenity MedSpa,San Francisco,CA,San Francisco Bay Area,Med Spa,8,$500K-$1.2M,Owner,Practice Owner
SELFISHLY Aesthetics and Wellness,San Francisco,CA,San Francisco Bay Area,Med Spa,8,$500K-$1.2M,Owner,Practice Owner
SF Vet Hospital,San Francisco,CA,San Francisco Bay Area,Veterinary Clinic,10,$800K-$2M,Owner,Practice Owner
Urban Pet Hospital,San Francisco,CA,San Francisco Bay Area,Veterinary Clinic,8,$800K-$1.5M,Owner,Practice Owner
San Francisco Pet Hospital,San Francisco,CA,San Francisco Bay Area,Veterinary Clinic,8,$800K-$1.5M,Owner,Practice Owner
Healthy Pets Veterinary Hospital,San Francisco,CA,San Francisco Bay Area,Veterinary Clinic,8,$800K-$1.5M,Owner,Practice Owner
South Boston Dental Group,Boston,MA,Boston,Dental Practice,12,$1M-$2M,Owner,Practice Owner
Dental Partners of Boston,Boston,MA,Boston,Dental Practice,15,$1M-$2M,Owner,Practice Owner
Smile Design Boston,Boston,MA,Boston,Dental Practice,10,$800K-$1.5M,Owner,Practice Owner
Seaport Medspa,Boston,MA,Boston,Med Spa,10,$500K-$1.5M,Owner,Practice Owner
Boston Medical Aesthetics,Boston,MA,Boston,Med Spa,8,$500K-$1.2M,Owner,Practice Owner
Vega Vitality,Boston,MA,Boston,Med Spa,8,$500K-$1.2M,Owner,Practice Owner
IconMD Medical Spa,Boston,MA,Boston,Med Spa,8,$500K-$1.2M,Owner,Practice Owner
SkinHealth Centers,Boston,MA,Boston,Med Spa,10,$500K-$1.5M,Owner,Practice Owner
Boston Physical Therapy and Wellness,Boston,MA,Boston,Physical Therapy Clinic,8,$500K-$1M,Owner,Practice Owner
Joint Ventures Physical Therapy,Boston,MA,Boston,Physical Therapy Clinic,12,$500K-$1.5M,Owner,Practice Owner
Boston Health and Wellness,Stoneham,MA,Boston,Physical Therapy Clinic,8,$500K-$1M,Owner,Practice Owner
Rittenhouse Smiles,Philadelphia,PA,Philadelphia,Dental Practice,10,$800K-$1.5M,Owner,Practice Owner
Pennsylvania Dental Group,Philadelphia,PA,Philadelphia,Dental Practice,12,$1M-$2M,Owner,Practice Owner
The Dental Spa,Philadelphia,PA,Philadelphia,Dental Practice,10,$800K-$1.5M,Owner,Practice Owner
Elegance in Dentistry,Philadelphia,PA,Philadelphia,Dental Practice,10,$800K-$1.5M,Owner,Practice Owner
PhillyMedClub,Philadelphia,PA,Philadelphia,Med Spa,8,$500K-$1.2M,Owner,Practice Owner
Enigma Medi Spa,Philadelphia,PA,Philadelphia,Med Spa,12,$500K-$1.5M,Owner,Practice Owner
Body and Beauty Lab,Philadelphia,PA,Philadelphia,Med Spa,8,$500K-$1.2M,Owner,Practice Owner
